CUPS;Fecha;Hora;AE_kWh;REAL/ESTIMADO
ES0031408520934026NH0F;23/09/2022;15;0,041;R
ES0031408520934026NH0F;23/09/2022;16;0,046;R
ES0031408520934026NH0F;23/09/2022;17;0,028;R
ES0031408520934026NH0F;23/09/2022;18;0,029;R
ES0031408520934026NH0F;23/09/2022;19;0,044;R
ES0031408520934026NH0F;23/09/2022;20;0,029;R
ES0031408520934026NH0F;23/09/2022;21;0,252;R
ES0031408520934026NH0F;23/09/2022;22;0,073;R
ES0031408520934026NH0F;23/09/2022;23;0,064;R
ES0031408520934026NH0F;23/09/2022;24;0,070;R
ES0031408520934026NH0F;24/09/2022;1;0,039;R
ES0031408520934026NH0F;24/09/2022;2;0,039;R
ES0031408520934026NH0F;24/09/2022;3;0,032;R
ES0031408520934026NH0F;24/09/2022;4;0,026;R
ES0031408520934026NH0F;24/09/2022;5;0,036;R
ES0031408520934026NH0F;24/09/2022;6;0,036;R
ES0031408520934026NH0F;24/09/2022;7;0,027;R
ES0031408520934026NH0F;24/09/2022;8;0,030;R
ES0031408520934026NH0F;24/09/2022;9;0,042;R
ES0031408520934026NH0F;24/09/2022;10;0,026;R
ES0031408520934026NH0F;24/09/2022;11;0,059;R
ES0031408520934026NH0F;24/09/2022;12;0,051;R
ES0031408520934026NH0F;24/09/2022;13;0,032;R
ES0031408520934026NH0F;24/09/2022;14;0,030;R
ES0031408520934026NH0F;24/09/2022;15;0,442;R
ES0031408520934026NH0F;24/09/2022;16;0,058;R
ES0031408520934026NH0F;24/09/2022;17;0,058;R
ES0031408520934026NH0F;24/09/2022;18;0,034;R
ES0031408520934026NH0F;24/09/2022;19;0,067;R
ES0031408520934026NH0F;24/09/2022;20;0,042;R
ES0031408520934026NH0F;24/09/2022;21;0,406;R
ES0031408520934026NH0F;24/09/2022;22;0,092;R
ES0031408520934026NH0F;24/09/2022;23;0,074;R
ES0031408520934026NH0F;24/09/2022;24;0,092;R
ES0031408520934026NH0F;25/09/2022;1;0,067;R
ES0031408520934026NH0F;25/09/2022;2;0,044;R
ES0031408520934026NH0F;25/09/2022;3;0,032;R
ES0031408520934026NH0F;25/09/2022;4;0,037;R
ES0031408520934026NH0F;25/09/2022;5;0,027;R
ES0031408520934026NH0F;25/09/2022;6;0,041;R
ES0031408520934026NH0F;25/09/2022;7;0,025;R
ES0031408520934026NH0F;25/09/2022;8;0,042;R
ES0031408520934026NH0F;25/09/2022;9;0,026;R
ES0031408520934026NH0F;25/09/2022;10;0,032;R
ES0031408520934026NH0F;25/09/2022;11;0,061;R
ES0031408520934026NH0F;25/09/2022;12;0,033;R
ES0031408520934026NH0F;25/09/2022;13;0,043;R
ES0031408520934026NH0F;25/09/2022;14;0,025;R
ES0031408520934026NH0F;25/09/2022;15;0,051;R
ES0031408520934026NH0F;25/09/2022;16;0,047;R
ES0031408520934026NH0F;25/09/2022;17;0,056;R
ES0031408520934026NH0F;25/09/2022;18;0,025;R
ES0031408520934026NH0F;25/09/2022;19;0,039;R
ES0031408520934026NH0F;25/09/2022;20;0,030;R
ES0031408520934026NH0F;25/09/2022;21;0,029;R
ES0031408520934026NH0F;25/09/2022;22;0,096;R
ES0031408520934026NH0F;25/09/2022;23;0,082;R
ES0031408520934026NH0F;25/09/2022;24;0,085;R
ES0031408520934026NH0F;26/09/2022;1;0,033;R
ES0031408520934026NH0F;26/09/2022;2;0,038;R
ES0031408520934026NH0F;26/09/2022;3;0,029;R
ES0031408520934026NH0F;26/09/2022;4;0,024;R
ES0031408520934026NH0F;26/09/2022;5;0,043;R
ES0031408520934026NH0F;26/09/2022;6;0,025;R
ES0031408520934026NH0F;26/09/2022;7;0,025;R
ES0031408520934026NH0F;26/09/2022;8;0,041;R
ES0031408520934026NH0F;26/09/2022;9;0,025;R
ES0031408520934026NH0F;26/09/2022;10;0,030;R
ES0031408520934026NH0F;26/09/2022;11;0,067;R
ES0031408520934026NH0F;26/09/2022;12;0,025;R
ES0031408520934026NH0F;26/09/2022;13;0,074;R
ES0031408520934026NH0F;26/09/2022;14;0,023;R
ES0031408520934026NH0F;26/09/2022;15;0,062;R
ES0031408520934026NH0F;26/09/2022;16;0,025;R
