cups;fecha;hora;consumo_kWh;metodoObtencion;energiaVertida_kWh
"ES0031406180691001QR0F";"2021/01/05";"20:00";"0,040";Real;NULL
"ES0031406180691001QR0F";"2021/01/05";"21:00";"0,041";Real;NULL
"ES0031406180691001QR0F";"2021/01/05";"22:00";"0,041";Real;NULL
"ES0031406180691001QR0F";"2021/01/05";"23:00";"0,042";Real;NULL
"ES0031406180691001QR0F";"2021/01/05";"24:00";"0,039";Real;NULL
"ES0031406180691001QR0F";"2021/01/06";"01:00";"0,040";Real;NULL
"ES0031406180691001QR0F";"2021/01/06";"02:00";"0,041";Real;NULL
"ES0031406180691001QR0F";"2021/01/06";"03:00";"0,040";Real;NULL
"ES0031406180691001QR0F";"2021/01/06";"04:00";"0,041";Real;NULL
"ES0031406180691001QR0F";"2021/01/06";"05:00";"0,041";Real;NULL
"ES0031406180691001QR0F";"2021/01/06";"06:00";"0,041";Real;NULL
"ES0031406180691001QR0F";"2021/01/06";"07:00";"0,038";Real;NULL
"ES0031406180691001QR0F";"2021/01/06";"08:00";"0,064";Real;NULL
"ES0031406180691001QR0F";"2021/01/06";"09:00";"0,091";Real;NULL
"ES0031406180691001QR0F";"2021/01/06";"10:00";"0,040";Real;NULL
"ES0031406180691001QR0F";"2021/01/06";"11:00";"0,033";Real;NULL
"ES0031406180691001QR0F";"2021/01/06";"12:00";"0,037";Real;NULL
"ES0031406180691001QR0F";"2021/01/06";"13:00";"0,044";Real;NULL
"ES0031406180691001QR0F";"2021/01/06";"14:00";"0,185";Real;NULL
"ES0031406180691001QR0F";"2021/01/06";"15:00";"0,034";Real;NULL
"ES0031406180691001QR0F";"2021/01/06";"16:00";"0,034";Real;NULL
"ES0031406180691001QR0F";"2021/01/06";"17:00";"0,040";Real;NULL
"ES0031406180691001QR0F";"2021/01/06";"18:00";"0,035";Real;NULL
"ES0031406180691001QR0F";"2021/01/06";"19:00";"0,041";Real;NULL
"ES0031406180691001QR0F";"2021/01/06";"20:00";"0,040";Real;NULL
"ES0031406180691001QR0F";"2021/01/06";"21:00";"0,041";Real;NULL
"ES0031406180691001QR0F";"2021/01/06";"22:00";"0,039";Real;NULL
"ES0031406180691001QR0F";"2021/01/06";"23:00";"0,040";Real;NULL
"ES0031406180691001QR0F";"2021/01/06";"24:00";"0,037";Real;NULL
"ES0031406180691001QR0F";"2021/01/07";"01:00";"0,035";Real;NULL
"ES0031406180691001QR0F";"2021/01/07";"02:00";"0,035";Real;NULL
"ES0031406180691001QR0F";"2021/01/07";"03:00";"0,036";Real;NULL
"ES0031406180691001QR0F";"2021/01/07";"04:00";"0,035";Real;NULL
"ES0031406180691001QR0F";"2021/01/07";"05:00";"0,035";Real;NULL
"ES0031406180691001QR0F";"2021/01/07";"06:00";"0,035";Real;NULL
"ES0031406180691001QR0F";"2021/01/07";"07:00";"0,035";Real;NULL
"ES0031406180691001QR0F";"2021/01/07";"08:00";"0,071";Real;NULL
"ES0031406180691001QR0F";"2021/01/07";"09:00";"0,103";Real;NULL
"ES0031406180691001QR0F";"2021/01/07";"10:00";"0,055";Real;NULL
"ES0031406180691001QR0F";"2021/01/07";"11:00";"0,073";Real;NULL
"ES0031406180691001QR0F";"2021/01/07";"12:00";"0,032";Real;NULL
"ES0031406180691001QR0F";"2021/01/07";"13:00";"0,125";Real;NULL
"ES0031406180691001QR0F";"2021/01/07";"14:00";"0,115";Real;NULL
"ES0031406180691001QR0F";"2021/01/07";"15:00";"0,036";Real;NULL
"ES0031406180691001QR0F";"2021/01/07";"16:00";"0,040";Real;NULL
"ES0031406180691001QR0F";"2021/01/07";"17:00";"0,063";Real;NULL
"ES0031406180691001QR0F";"2021/01/07";"18:00";"0,036";Real;NULL
"ES0031406180691001QR0F";"2021/01/07";"19:00";"0,048";Real;NULL
"ES0031406180691001QR0F";"2021/01/07";"20:00";"0,037";Real;NULL
"ES0031406180691001QR0F";"2021/01/07";"21:00";"0,037";Real;NULL
"ES0031406180691001QR0F";"2021/01/07";"22:00";"0,037";Real;NULL
"ES0031406180691001QR0F";"2021/01/07";"23:00";"0,037";Real;NULL
"ES0031406180691001QR0F";"2021/01/07";"24:00";"0,037";Real;NULL
"ES0031406180691001QR0F";"2021/01/08";"01:00";"0,038";Real;NULL
