cups;fecha;hora;consumo_kWh;metodoObtencion;energiaVertida_kWh
ES0553000000001456NC;09/07/2022;5:00;0,144;Estimada;0
ES0553000000001456NC;09/07/2022;6:00;0,089;Estimada;0
ES0553000000001456NC;09/07/2022;7:00;0,33;Estimada;0
ES0553000000001456NC;09/07/2022;8:00;0,372;Estimada;0
ES0553000000001456NC;09/07/2022;9:00;0,204;Estimada;0
ES0553000000001456NC;09/07/2022;10:00;0,081;Estimada;0
ES0553000000001456NC;09/07/2022;11:00;0,08;Estimada;0
ES0553000000001456NC;09/07/2022;12:00;0,159;Estimada;0
ES0553000000001456NC;09/07/2022;13:00;0,144;Estimada;0
ES0553000000001456NC;09/07/2022;14:00;0,176;Estimada;0
ES0553000000001456NC;09/07/2022;15:00;0,285;Estimada;0
ES0553000000001456NC;09/07/2022;16:00;0,116;Estimada;0
ES0553000000001456NC;09/07/2022;17:00;0,114;Estimada;0
ES0553000000001456NC;09/07/2022;18:00;0,16;Estimada;0
ES0553000000001456NC;09/07/2022;19:00;0,111;Estimada;0
ES0553000000001456NC;09/07/2022;20:00;0,43;Estimada;0
ES0553000000001456NC;09/07/2022;21:00;0,123;Estimada;0
ES0553000000001456NC;09/07/2022;22:00;0,176;Estimada;0
ES0553000000001456NC;09/07/2022;23:00;0,141;Estimada;0
ES0553000000001456NC;09/07/2022;24:00:00;0,128;Estimada;0
ES0553000000001456NC;10/07/2022;1:00;0,101;Estimada;0
ES0553000000001456NC;10/07/2022;2:00;0,103;Estimada;0
ES0553000000001456NC;10/07/2022;3:00;0,127;Estimada;0
ES0553000000001456NC;10/07/2022;4:00;0,211;Estimada;0
ES0553000000001456NC;10/07/2022;5:00;0,101;Estimada;0
ES0553000000001456NC;10/07/2022;6:00;0,089;Estimada;0
ES0553000000001456NC;10/07/2022;7:00;0,094;Estimada;0
ES0553000000001456NC;10/07/2022;8:00;0,27;Estimada;0
ES0553000000001456NC;10/07/2022;9:00;0,285;Estimada;0
ES0553000000001456NC;10/07/2022;10:00;0,222;Estimada;0
ES0553000000001456NC;10/07/2022;11:00;0,121;Estimada;0
